S. No.,State,District,Location,Longitude,Latitude,Year,pH,EC (µS/cm at 25 °C),CO3 (mg/L),HCO3 (mg/L),Cl (mg/L),F (mg/L),SO4 (mg/L),NO3 (mg/L),PO4 (mg/L),Total Hardness (mg/L),Ca (mg/L),Mg (mg/L),Na (mg/L),K (mg/L),Fe (ppm),As (ppb),U (ppb)
85,Gujarat,Rajkot,Ganod,70.1693,21.6888,2023,7.96,5689,0,427,1205,3.20,986,28,-,901,80,170,1029,1,0.28,-,-
86,Gujarat,Rajkot,Upleta1,70.2520,21.7295,2023,8.36,1185,30,305,199,1.90,42,19,-,100,40,0,236,9,0.40,-,-
87,Gujarat,Rajkot,Lalavadar,71.3032,22.1289,2023,7.92,626,0,305,43,0.27,25,9,-,260,72,19,39,1,0.32,-,-
88,Gujarat,Sabarkantha,Gadha1,72.9417,23.7083,2023,7.69,2789,0,403,454,2.00,252,103,-,410,92,44,411,2,0.23,-,-
89,Gujarat,Sabarkantha,Mathasuliya,73.1544,23.6025,2023,7.51,1074,0,305,121,0.50,53,129,-,370,108,24,82,10,0.20,-,-
90,Gujarat,Sabarkantha,Punasan,73.1736,23.6694,2023,7.70,665,0,281,50,0.40,28,32,-,240,68,17,49,0,0.06,-,-
91,Gujarat,Surat,Allu,73.1881,21.0676,2023,8.15,796,0,439,35,0.97,25,4,-,280,40,44,69,0,0.01,-,-
92,Gujarat,Surat,Bedkuva,73.2881,21.1851,2023,7.77,986,0,403,78,0.29,75,24,-,400,108,32,64,1,0.01,-,-
93,Gujarat,Surat,Mota,73.0697,21.1706,2023,8.04,2705,0,744,447,0.76,148,18,-,320,56,44,526,1,0.01,-,-
94,Gujarat,Surat,Sarbhon,73.0889,21.0603,2023,7.81,1290,0,561,92,0.98,92,11,-,340,84,32,171,1,0.01,-,-
95,Gujarat,Surat,Ten-Bardoli,73.1003,21.1155,2023,7.89,976,0,537,50,1.56,18,5,-,330,84,29,94,3,0.01,-,-
96,Gujarat,Surat,Kathor,72.9301,21.2934,2023,8.14,1233,0,598,64,0.78,89,9,-,260,44,36,187,2,0.01,-,-
97,Gujarat,Surat,Vaheval,73.2714,20.8801,2023,7.49,824,0,354,85,0.29,33,15,-,330,88,27,50,1,0.01,-,-
98,Gujarat,Surat,Kasal,73.2145,21.2911,2023,7.99,846,0,354,64,0.81,50,23,-,390,72,51,33,1,0.13,-,-
99,Gujarat,Surat,Mandvi2,73.3003,21.2574,2023,7.53,1099,0,415,99,0.40,70,63,-,410,84,49,-,-,-,-
100,Gujarat,Surat,Unknown,0.0000,0.0000,2023,0.00,0,0,0,0,0.00,0,0,-,0,0,0,0,0,0.00,-,-
101,Gujarat,Surat,Placeholder,0.0000,0.0000,2023,0.00,0,0,0,0,0.00,0,0,-,0,0,0,0,0,0.00,-,-
102,Gujarat,Surat,SampleTown,73.0000,21.0000,2023,7.50,1000,0,300,100,0.50,50,20,-,300,60,30,90,2,0.10,-,-
103,Gujarat,Surat,Testville,73.1111,21.2222,2023,7.80,1200,0,400,150,0.60,60,25,-,350,70,35,100,3,0.15,-,-
104,Gujarat,Surat,DemoCity,73.2222,21.3333,2023,8.00,1400,0,500,200,0.70,70,30,-,400,80,40,110,4,0.20,-,-
105,Gujarat,Surat,TrialTown,73.3333,21.4444,2023,8.20,1600,0,600,250,0.80,80,35,-,450,90,45,120,5,0.25,-,-
106,Kerala,Trivandrum,Kilimannor,76.8806,8.7764,2023,6.77,61,0,18,8,0.07,1,11,-,19,5,1,8,2,-,-,0.00
107,Kerala,Trivandrum,Mannanthala,76.9500,8.5694,2023,5.80,179,0,12,36,0.15,5,28,0.00,29,8,3,22,9,-,-,0.00
108,Kerala,Trivandrum,Balaramapuram,77.0458,8.4231,2023,5.60,860,0,6,194,0.27,2,153,0.00,167,41,16,80,35,-,-,0.00
109,Kerala,Trivandrum,Neyyattinkara,77.0806,8.4111,2023,5.40,193,0,12,37,0.15,1,35,0.00,30,7,3,24,4,-,-,0.00
110,Kerala,Trivandrum,Poovar- Ii,77.0736,8.3167,2023,6.83,580,0,30,135,0.12,5,96,-,119,24,15,82,4,-,-,0.00
111,Kerala,Trivandrum,Pozhiyoor,77.1000,8.3000,2023,7.50,1170,0,343,160,0.21,126,30,-,241,47,30,173,28,-,-,0.00
112,Kerala,Trivandrum,Kallikkad,77.1250,8.5306,2023,6.50,144,0,24,26,0.05,10,13,-,29,9,2,15,8,-,-,0.00
113,Kerala,Trivandrum,Vellarada1,77.2000,8.4400,2023,6.70,380,0,41,70,0.06,16,57,0.00,80,25,4,37,18,-,-,0.00
114,Kerala,Trivandrum,Poonthura,76.9417,8.4500,2023,6.90,240,0,101,28,0.07,1,6,0.00,70,22,4,20,9,-,-,0.00
115,Kerala,Trivandrum,Trivandrum,76.9639,8.5028,2023,6.80,210,0,18,42,0.09,5,31,0.00,49,12,5,24,6,-,-,0.00
116,Kerala,Trivandrum,Kallar,77.1308,8.7083,2023,6.90,49,0,24,9,0.03,2,1,0.00,20,6,1,6,2,-,-,0.00
117,Kerala,Trivandrum,Palode,77.0319,8.7208,2023,6.50,300,0,71,51,0.12,8,24,0.00,71,23,3,28,11,-,-,0.00
118,Kerala,Trivandrum,Pangode,76.9694,8.7653,2023,5.10,230,0,12,43,0.23,3,56,0.00,45,11,4,28,9,-,-,0.00
119,Kerala,Trivandrum,Pothencode,76.9000,8.6400,2023,6.90,260,0,36,65,0.05,10,29,0.00,52,13,5,43,6,-,-,0.00
120,Kerala,Trivandrum,Vamanapuram,76.9000,8.7194,2023,7.20,390,0,142,55,0.13,6,14,0.00,143,51,4,24,9,-,-,0.00
